comp,quantile,A,S,C
abds,0,3.9413856104533e-07,0.0179825851848227,1.61617627918764e-06
abds,0.02,1.44201996523201e-05,0.0172328426176465,5.21641741028851e-05
abds,0.04,2.53120395220557e-05,0.0192128122485143,9.90986142168183e-05
abds,0.06,3.411708590266e-05,0.0198342320249875,0.000149377790394955
abds,0.08,4.37254163655715e-05,0.0197620075631598,0.000196578167713594
abds,0.1,5.46251006800233e-05,0.019413779275687,0.000243660396790872
abds,0.12,6.6784948154473e-05,0.0191290404539556,0.000286151077645719
abds,0.14,8.23183361141845e-05,0.018587108629894,0.000328804440913669
abds,0.16,9.59669147749009e-05,0.0182354822428531,0.000372294914649187
abds,0.18,0.00010954339132851,0.0180961374104559,0.000414309103872285
abds,0.2,0.000111778117102733,0.0188692495964721,0.000464513727763991
abds,0.22,0.000124471547180647,0.0187901756367828,0.000508172014508755
abds,0.24,0.000138164284252285,0.0186547542631373,0.000544927613126389
abds,0.26,0.000151578089446814,0.0184638180104736,0.000584700184483133
abds,0.28,0.000167666197511712,0.018244305970708,0.000619332257291301
abds,0.3,0.000193400657885318,0.0175872868982619,0.000650560208462717
abds,0.32,0.000210780555274553,0.0173164853200174,0.000690176749173206
abds,0.34,0.000236337063309657,0.0168234425266509,0.000717155356830181
abds,0.36,0.000258046208029124,0.0165459666994043,0.000747157817367394
abds,0.38,0.000264713210959974,0.0168079053655233,0.0007897583219059
abds,0.4,0.000284808520456593,0.0166226631108647,0.000823716746942134
abds,0.42,0.000317650408280697,0.0161181300990345,0.000846227134526536
abds,0.44,0.00034265531716516,0.0158980553125756,0.000879609108296905
abds,0.46,0.000361209486984213,0.0158226660647607,0.00091576653717426
abds,0.48,0.00037116723298599,0.0158981246017113,0.000960056024442368
abds,0.5,0.000389254035578982,0.015762146392569,0.00099936599178223
abds,0.52,0.000407985774249737,0.0156990407616981,0.0010350221856787
abds,0.54,0.000418844228141522,0.015883656664434,0.00107463019708639
abds,0.56,0.00043900749733227,0.0158277577308214,0.00110878136878481
abds,0.58,0.00046367574720269,0.0156512288201171,0.00113823668703216
abds,0.6,0.000482320967972385,0.015618894315416,0.00117591571052465
abds,0.62,0.000499907673490605,0.015603457188152,0.00121887544234308
abds,0.64,0.000530502065600612,0.0153612658109473,0.00125250649944375
abds,0.66,0.000537978057677108,0.0155349424437728,0.00130546087259844
abds,0.68,0.000568727968842002,0.0153206442379814,0.00134282058371313
abds,0.7,0.000597779987100633,0.0151850004747196,0.00138493050052202
abds,0.72,0.000616064484441291,0.0152238696698366,0.00143172520237189
abds,0.74,0.000642669289406829,0.01516810898713,0.00147439225765303
abds,0.76,0.000675433479810272,0.015070600605185,0.0015148028910492
abds,0.78,0.000714784448318674,0.0148929934200471,0.00156087369720245
abds,0.8,0.00075944658479653,0.0146701807195114,0.00160595695926674
abds,0.82,0.000799625149253797,0.0145842303433136,0.00166574041133325
abds,0.84,0.000835774645088689,0.0145505309878433,0.00174398362355431
abds,0.86,0.000866100364598666,0.0146604550939654,0.00182938043539284
abds,0.88,0.00094321298576699,0.0143841543906003,0.00189319110205755
abds,0.9,0.00100987647341525,0.0142942833232924,0.00197427638359571
abds,0.92,0.00108927119401603,0.0141450564481254,0.0020639183198075
abds,0.94,0.00109987879012658,0.0147139169674082,0.00228311766637303
abds,0.96,0.00125394775716416,0.0143243922120066,0.00243945265973595
abds,0.98,0.00147954784978623,0.0139102270570507,0.00272584980047106
abds,1,0.00202237428701938,0.0145919170079267,0.00413660704512777
amds,0,0.0128402979518559,0.010316867754395,0.0114638749139037
amds,0.02,0.0131080768097219,0.0102995207977521,0.0116591587712837
amds,0.04,0.0131334046942186,0.0103246923497564,0.0117567484199121
amds,0.06,0.0131656302051305,0.0103368081763039,0.0118099415240908
amds,0.08,0.0131650310266154,0.0103610922057588,0.011872694287562
amds,0.1,0.0132033676823236,0.0103600632956324,0.0118936650386428
amds,0.12,0.0132256987504203,0.0103652240248049,0.0119174749566693
amds,0.14,0.0132484948049952,0.0103663392228935,0.0119352882312227
amds,0.16,0.0132491652810034,0.01037803717452,0.0119705958508385
amds,0.18,0.0132820843248752,0.0103698244211102,0.0119749103169693
amds,0.2,0.0133078886115202,0.0103647263716239,0.0119823809848233
amds,0.22,0.0133297770308144,0.0103609766089952,0.0119904332201482
amds,0.24,0.0133429922080629,0.0103620328417324,0.0120051344985084
amds,0.26,0.0133425297894287,0.010370796033912,0.0120292720042359
amds,0.28,0.0133511763761023,0.0103730985406937,0.012042694348949
amds,0.3,0.0133590292833652,0.0103762341272685,0.0120572206321422
amds,0.32,0.0133837549255582,0.0103694784614722,0.0120579758578261
amds,0.34,0.0133885954044332,0.0103742416987865,0.0120747634751815
amds,0.36,0.0134003098780089,0.0103739496785081,0.0120837342217651
amds,0.38,0.0134094308939941,0.0103756536843734,0.0120948208016322
amds,0.4,0.0134307302071076,0.0103713619701785,0.0120965164247318
amds,0.42,0.0134407541759506,0.0103732724271157,0.0121085929749882
amds,0.44,0.0134479486437302,0.010376811496363,0.0121238113630281
amds,0.46,0.0134613315027186,0.010375995748604,0.0121348601644193
amds,0.48,0.0134658007805295,0.0103797761423895,0.0121522508280765
amds,0.5,0.0134684919893243,0.0103845428458707,0.0121700081684116
amds,0.52,0.0134730100213292,0.0103889521220434,0.0121878426904785
amds,0.54,0.0134694576764111,0.0103986876970355,0.0122119675299019
amds,0.56,0.0134723795895923,0.0104047778428326,0.0122304817025374
amds,0.58,0.013484569064201,0.0104056070596248,0.0122402913106566
amds,0.6,0.0134798835522605,0.0104151071011533,0.0122660561341499
amds,0.62,0.0134966882143512,0.0104120235435489,0.0122721625764214
amds,0.64,0.0135019905040266,0.0104169844531563,0.0122903880002609
amds,0.66,0.0135079551392941,0.0104204080104504,0.0123061691514415
amds,0.68,0.0135101288173212,0.0104263406694085,0.0123257317407375
amds,0.7,0.01350436024703,0.0104371657385344,0.0123524011704319
amds,0.72,0.0135217449595451,0.0104349925706367,0.0123587965509854
amds,0.74,0.0135271885099469,0.0104384235319051,0.0123762487406876
amds,0.76,0.0135362625408093,0.0104410170378977,0.0123921685026021
amds,0.78,0.0135503059418499,0.0104425211643316,0.0124071402659493
amds,0.8,0.0135647072042625,0.0104445099705535,0.0124214424838537
amds,0.82,0.0135776256684303,0.0104474819119607,0.0124389731426106
amds,0.84,0.0135982464884282,0.0104464786164187,0.0124505678296625
amds,0.86,0.0135984895796029,0.0104576644463299,0.0124813154641342
amds,0.88,0.0136320488918917,0.010451215843492,0.0124876130430847
amds,0.9,0.0136470633227758,0.010455491550089,0.0125180011431104
amds,0.92,0.0137082844699249,0.0104380446432636,0.0125138336305072
amds,0.94,0.0137550269896425,0.0104329435586531,0.0125333806636772
amds,0.96,0.0138034426656101,0.0104335012489805,0.0125687832647811
amds,0.98,0.013749574993815,0.0104994396278991,0.0127394468222538
amds,1,0.0137082768532249,0.0106543270473024,0.0131947817454821
